"gene"	"logFC"	"pValue"
"10114"	"ENSG00000158874"	7.41022020842197	"0.00225705765518007"
"1708"	"ENSG00000087086"	7.16025732285785	"0.000329260432489677"
"6139"	"ENSG00000130203"	1.29584534336927	"0.00544412652874619"
"10399"	"ENSG00000161016"	0.840883923575969	"6.3359716673754e-17"
"507"	"ENSG00000034510"	0.813204837782953	"4.53995937598181e-10"
"7043"	"ENSG00000135821"	0.642941724102432	"0.00923640535613933"
"17463"	"ENSG00000211592"	0.589046274056072	"1.76683494022421e-07"
"3240"	"ENSG00000106211"	0.561042871761678	"5.08295435012691e-22"
"13975"	"ENSG00000177954"	0.477194651936235	"1.58932242453335e-13"
"7429"	"ENSG00000137818"	0.405708431218684	"4.6814192277981e-17"
"15756"	"ENSG00000187837"	0.393252874978678	"3.97429893265091e-09"
"1810"	"ENSG00000089157"	0.323607791073274	"3.19123684688718e-13"
"12900"	"ENSG00000171858"	0.308344974056282	"2.99178794519558e-15"
"17155"	"ENSG00000204525"	0.303311205777708	"5.18785462074232e-05"
"18294"	"ENSG00000231500"	0.299684905612473	"2.73251629301724e-13"
"3877"	"ENSG00000111640"	0.295786415270679	"3.75811821648112e-11"
"3021"	"ENSG00000105193"	0.292975828149701	"4.40580160123288e-14"
"12940"	"ENSG00000172016"	0.276489159932717	"1.44496409866982e-08"
"8124"	"ENSG00000142534"	0.270593885593057	"8.52409763861954e-11"
"8126"	"ENSG00000142541"	0.266758065268811	"8.2401355534458e-10"
"17440"	"ENSG00000206503"	0.24813913424448	"1.03119520458467e-08"
"8934"	"ENSG00000148303"	0.245916216239538	"1.76558759084185e-10"
"13921"	"ENSG00000177600"	0.224843877616706	"2.75709074497321e-14"
"7307"	"ENSG00000137154"	0.22439328677909	"1.20335562334304e-07"
"7930"	"ENSG00000140988"	0.223089737938644	"2.30819528720228e-10"
"4006"	"ENSG00000112306"	0.221723015342355	"7.27627865322547e-07"
"16018"	"ENSG00000189060"	0.221351233638197	"1.66237032380295e-14"
"3474"	"ENSG00000108298"	0.218578588415927	"7.84662254391757e-13"
"2047"	"ENSG00000096384"	0.218534755393087	"7.54109278337454e-22"
"4801"	"ENSG00000118785"	0.215970504859836	"7.36866161488504e-07"
"17347"	"ENSG00000205542"	0.211092869470295	"0.0159411939270976"
"18334"	"ENSG00000233276"	0.207067100724653	"2.18265669792803e-06"
"14174"	"ENSG00000179218"	0.205000736461323	"8.69826260618077e-13"
"8172"	"ENSG00000142937"	0.194391024581536	"3.03654478853718e-10"
"16829"	"ENSG00000198755"	0.185805029543362	"4.45421565984798e-11"
"17675"	"ENSG00000211896"	0.179516465812635	"5.39583872147163e-05"
"10177"	"ENSG00000159377"	0.17472460598671	"4.3056508535808e-23"
"10521"	"ENSG00000162244"	0.168181398229825	"1.26552194560966e-07"
"603"	"ENSG00000044574"	0.162696307213438	"2.26487427445003e-13"
"14086"	"ENSG00000178719"	0.154958652760629	"2.45386167830153e-12"
"850"	"ENSG00000063177"	0.144537460777333	"4.06695582333833e-10"
"13679"	"ENSG00000176153"	0.144348732750683	"0.0442707000721931"
"16590"	"ENSG00000197903"	0.142768483561007	"6.11819124262668e-11"
"230"	"ENSG00000008988"	0.142230737772358	"2.885774960049e-12"
"6961"	"ENSG00000135404"	0.140310619808914	"3.75934423507845e-13"
"2242"	"ENSG00000100316"	0.137374554257884	"0.00139909661850993"
"4033"	"ENSG00000112514"	0.136885656337898	"1.94189616936463e-18"
"18349"	"ENSG00000233927"	0.136744342367112	"1.25878977523487e-10"
"9835"	"ENSG00000156508"	0.133900913273902	"0.288665128360747"
"8863"	"ENSG00000147604"	0.130564702743015	"2.77270908550196e-11"
"3748"	"ENSG00000110492"	0.130271030207213	"4.40813634098293e-24"
"6360"	"ENSG00000131469"	0.12429428409925	"1.29502308473825e-14"
"5600"	"ENSG00000125534"	0.119892681563426	"3.62138616420596e-09"
"14269"	"ENSG00000179918"	0.117922264345007	"0.000382606819853405"
"4355"	"ENSG00000115268"	0.116726323071449	"1.98236588535451e-11"
"6599"	"ENSG00000133048"	0.116580045196057	"0.900743899014301"
"8944"	"ENSG00000148346"	0.114431388915111	"9.25160631123256e-10"
"16574"	"ENSG00000197858"	0.113861993383834	"7.53726871351336e-26"
"8370"	"ENSG00000143947"	0.112393349835589	"2.03305054839014e-11"
"16138"	"ENSG00000196230"	0.110993784382659	"5.8846175410553e-13"
"2064"	"ENSG00000099194"	0.108525122981248	"0.152453622467375"
"14153"	"ENSG00000179091"	0.108499842151045	"7.6801378878888e-17"
"12041"	"ENSG00000168028"	0.105937421497762	"1.874124045154e-17"
"11157"	"ENSG00000164405"	0.105296137197637	"0.000460657441007022"
"12475"	"ENSG00000169976"	0.103635277375224	"2.29023571483794e-08"
"5619"	"ENSG00000125691"	0.103377346661709	"1.08182203364527e-11"
"16643"	"ENSG00000198074"	0.102623989175848	"7.8551282402838e-11"
"11892"	"ENSG00000167526"	0.101633621988224	"9.0670609789873e-05"
"11937"	"ENSG00000167658"	0.101473605611961	"0.00053966539127958"
"3724"	"ENSG00000110244"	0.100787607069335	"9.53911399301846e-06"
"4381"	"ENSG00000115386"	0.0997430440714474	"3.77118294295496e-08"
"16607"	"ENSG00000197958"	0.0992420618429181	"2.33994551358941e-06"
"4737"	"ENSG00000118181"	0.0989694505702398	"2.52837531570269e-08"
"391"	"ENSG00000019582"	0.0981545073096232	"0.123791778723536"
"13296"	"ENSG00000173812"	0.0976502819571362	"2.20926671798687e-06"
"11879"	"ENSG00000167468"	0.0974589082559988	"1.68816156474571e-05"
"9121"	"ENSG00000149806"	0.0965376088414634	"1.1402968739292e-07"
"11113"	"ENSG00000164266"	0.0964897850228946	"1.6744571606233e-06"
"16606"	"ENSG00000197956"	0.0940941677497674	"0.000735250411869031"
"8481"	"ENSG00000144713"	0.0938564656748448	"7.3799716073371e-09"
"12904"	"ENSG00000171863"	0.0935557608614495	"4.19852932311325e-15"
"15840"	"ENSG00000188257"	0.08826148273046	"0.00236073491209605"
"7273"	"ENSG00000136942"	0.088245922837032	"1.07681060484551e-07"
"18243"	"ENSG00000229117"	0.0869815652940148	"1.00143579448519e-05"
"11191"	"ENSG00000164587"	0.086595337483576	"5.0665171880375e-10"
"3688"	"ENSG00000109971"	0.0849242305505624	"0.0018205924391589"
"8078"	"ENSG00000142089"	0.0841603696359988	"0.00296046922865279"
"10085"	"ENSG00000158710"	0.0824746262279209	"5.60147945107441e-16"
"3888"	"ENSG00000111669"	0.0824729824321131	"2.71214866365825e-06"
"75"	"ENSG00000005022"	0.0822301314120389	"3.09990541829028e-07"
"1602"	"ENSG00000083845"	0.08155018769836	"9.12509205864398e-16"
